자격명,종목코드,유형,시행기관,당해직의 직무 내용,응시 자격,합격 기준,응시료,자격증유효기간,정기유무,난이도,좋아요
용접기술사,11,1,96,,,,,,,,
금형기술사,12,1,96,,,,,,,,
차량기술사,50,1,96,,,,,,,,
산업기계설비기술사,60,1,96,,,,,,,,
공조냉동기계기술사,71,1,96,,,,,,,,
건설기계기술사,80,1,96,,,,,,,,
금속제련기술사,94,1,96,,,,,,,,
금속재료기술사,110,1,96,,,,,,,,
표면처리기술사,120,1,96,,,,,,,,
금속가공기술사,130,1,96,,,,,,,,
화공기술사,210,1,96,,,,,,,,
발송배전기술사,230,1,96,,,,,,,,
전기응용기술사,250,1,96,,,,,,,,
철도신호기술사,261,1,96,,,,,,,,
산업계측제어기술사,270,1,96,,,,,,,,
전자응용기술사,301,1,96,,,,,,,,
조선기술사,320,1,96,,,,,,,,
항공기체기술사,360,1,96,,,,,,,,
항공기관기술사,370,1,96,,,,,,,,
토질및기초기술사,390,1,96,,,,,,,,
토목구조기술사,400,1,96,,,,,,,,
항만및해안기술사,410,1,96,,,,,,,,
도로및공항기술사,420,1,96,,,,,,,,
철도기술사,430,1,96,,,,,,,,
철도차량기술사,431,1,96,,,,,,,,
전기철도기술사,432,1,96,,,,,,,,
수자원개발기술사,451,1,96,,,,,,,,
상하수도기술사,460,1,96,,,,,,,,
농어업토목기술사,470,1,96,,,,,,,,
토목시공기술사,480,1,96,,,,,,,,
토목품질시험기술사,481,1,96,,,,,,,,
건축구조기술사,490,1,96,,,,,,,,
건축기계설비기술사,501,1,96,,,,,,,,
건축전기설비기술사,502,1,96,,,,,,,,
건축시공기술사,510,1,96,,,,,,,,
건축품질시험기술사,511,1,96,,,,,,,,
섬유기술사,551,1,96,,,,,,,,
의류기술사,561,1,96,,,,,,,,
교통기사,575,1,96,,,,,,,,
화약류관리기술사,591,1,96,,,,,,,,
정보관리기술사,601,1,96,,,,,,,,
컴퓨터시스템응용기술사,622,1,96,,,,,,,,
도시계획기술사,650,1,96,,,,,,,,
조경기술사,670,1,96,,,,,,,,
측량및지형공간정보기술사,680,1,96,,,,,,,,
지적기술사,690,1,96,,,,,,,,
해양기술사,700,1,96,,,,,,,,
수산양식기술사,701,1,96,,,,,,,,
어로기술사,702,1,96,,,,,,,,
기계안전기술사,710,1,96,,,,,,,,
화공안전기술사,720,1,96,,,,,,,,
전기안전기술사,730,1,96,,,,,,,,
건설안전기술사,740,1,96,,,,,,,,
소방기술사,750,1,96,,,,,,,,
산업위생관리기술사,751,1,96,,,,,,,,
가스기술사,752,1,96,,,,,,,,
공장관리기술사,760,1,96,,,,,,,,
품질관리기술사,770,1,96,,,,,,,,
포장기술사,780,1,96,,,,,,,,
세라믹기술사,790,1,96,,,,,,,,
식품기술사,800,1,96,,,,,,,,
산림기술사,801,1,96,,,,,,,,
비파괴검사기술사,802,1,96,,,,,,,,
수산제조기술사,810,1,96,,,,,,,,
지질및지반기술사,825,1,96,,,,,,,,
종자기술사,840,1,96,,,,,,,,
시설원예기술사,841,1,96,,,,,,,,
축산기술사,851,1,96,,,,,,,,
기계기술사,872,1,96,,,,,,,,
인간공학기술사,875,1,96,,,,,,,,
기상예보기술사,891,1,96,,,,,,,,
대기관리기술사,920,1,96,,,,,,,,
수질관리기술사,930,1,96,,,,,,,,
자연환경관리기술사,938,1,96,,,,,,,,
소음진동기술사,940,1,96,,,,,,,,
토양환경기술사,948,1,96,,,,,,,,
농화학기술사,950,1,96,,,,,,,,
교통기술사,951,1,96,,,,,,,,
제품디자인기술사,960,1,96,,,,,,,,
폐기물처리기술사,970,1,96,,,,,,,,
일반기계기사,1021,1,96,,,,,,,,
용접기사,1022,1,96,,,,,,,,
농업기계기사,1023,1,96,,,,,,,,
사출금형설계기사,1024,1,96,,,,,,,,
프레스금형설계기사,1025,1,96,,,,,,,,
그린전동자동차기사,1027,1,96,,,,,,,,
온실가스관리기사,1028,1,96,,,,,,,,
환경위해관리기사,1029,1,96,,,,,,,,
철도차량기사,1030,1,96,,,,,,,,
건설기계설비기사,1040,1,96,,,,,,,,
콘크리트기사,1048,1,96,,,,,,,,
건설기계정비기사,1050,1,96,,,,,,,,
궤도장비정비기사,1051,1,96,,,,,,,,
자동차정비기사,1070,1,96,,,,,,,,
기계설계기사,1080,1,96,,,,,,,,
금속재료기사,1104,1,96,,,,,,,,
화공기사,1110,1,96,,,,,,,,
신재생에너지발전설비기사(태양광),1114,1,96,,,,,,,,
임베디드기사,1121,1,96,,,,,,,,
화약류제조기사,1130,1,96,,,,,,,,
화약류관리기사,1140,1,96,,,,,,,,
전기기사,1150,1,96,,,,,,,,
전기공사기사,1160,1,96,,,,,,,,
전자기사,1170,1,96,,,,,,,,
의공기사,1176,1,96,,,,,,,,
로봇기구개발기사,1177,1,96,,,,,,,,
로봇소프트웨어개발기사,1178,1,96,,,,,,,,
로봇하드웨어개발기사,1179,1,96,,,,,,,,
조산사,1220,1,94,조산(助産)과 임부(姙婦)·해산부(解産婦)·산욕부(産褥婦) 및 신생아에 대한 보건과 양호지도를 임무로 한다.,"◎ 조산사가 되려는 자는 다음 각 호의 어느 하나에 해당하는 자로서 국가시험에 합격한 후 보건복지부장관의 면허를 받아야 한다.  1. 간호사 면허를 가지고 보건복지부장관이 인정하는 의료기관에서 1년간 조산 수습과정을 마친 자 2. 보건복지부장관이 인정하는 외국의 조산사 면허를 받은 자 ◎ 다음 결격사유에 해당하지 않은 자 1. 「정신보건법」 제3조제1호에 따른 정신질환자. 다만, 전문의가 의료인으로서 적합하다고 인정하는 사람은 그러하지 아니하다. 2. 마약·대마·향정신성의약품 중독자 3. 금치산자·한정치산자 4. 이 법 또는 「형법」 제233조, 제234조, 제269조, 제270조, 제317조제1항 및 제347조(허위로 진료비를 청구하여 환자나 진료비를 지급하는 기관이나 단체를 속인 경우만을 말한다), 「보건범죄단속에 관한 특별조치법」,「지역보건법」,「후천성면역결핍증 예방법」,「응급의료에 관한 법률」,「농어촌 등 보건의료를 위한 특별 조치법」,「시체해부 및 보존에 관한 법률」,「혈액관리법」,「마약류관리에 관한 법률」,「약사법」,「모자보건법」, 그 밖에 대통령령으로 정하는 의료 관련 법령을 위반하여 금고 이상의 형을 선고받고 그 형의 집행이 종료되지 아니하였거나 집행을 받지 아니하기로 확정되지 아니한 자 ◎ 부정한 방법으로 국가시험 등에 응시한 자나 국가시험 등에 관하여 부정행위를 한 자는 그 수험을 정지시키거나 합격을 무효로 하고 수험이 정지되거나 합격이 무효가 된 자는 그 다음에 치러지는 2회의 국가시험 등에 응시할 수 없다. ◎ 국가시험에 응시함에 있어 응시원서 접수 이전에 의료법 제6조 제1호에 의한 조산 수습과정을 이수 중에 있는 자는 응시자격을 부여하되, 2013년 2월말 이전에 수습을 마친 자에 한하여 합격을 인정한다.","전 과목 총점의 60% 이상, 매 과목 40% 이상",,,,,
항공기사,1240,1,96,,,,,,,,
토목기사,1250,1,96,,,,,,,,
실내건축기사,1282,1,96,,,,,,,,
섬유기사,1297,1,96,,,,,,,,
의류기사,1301,1,96,,,,,,,,
정보처리기사,1320,1,96,,,,,,,,
전자계산기기사,1321,1,96,,,,,,,,
전자계산기조직응용기사,1322,1,96,,,,,,,,
에너지관리기사,1340,1,96,,,,,,,,
도시계획기사,1350,1,96,,,,,,,,
항로표지기사,1351,1,96,,,,,,,,
조경기사,1370,1,96,,,,,,,,
측량및지형공간정보기사,1380,1,96,,,,,,,,
지적기사,1390,1,96,,,,,,,,
인쇄기사,1391,1,96,,,,,,,,
해양환경기사,1401,1,96,,,,,,,,
해양자원개발기사,1402,1,96,,,,,,,,
해양공학기사,1403,1,96,,,,,,,,
산업안전기사,1431,1,96,,,,,,,,
건설안전기사,1440,1,96,,,,,,,,
화재감식평가기사,1441,1,96,,,,,,,,
농작업안전보건기사,1442,1,96,,,,,,,,
방재기사,1443,1,96,,,,,,,,
가스기사,1471,1,96,,,,,,,,
산업위생관리기사,1472,1,96,,,,,,,,
품질경영기사,1500,1,96,,,,,,,,
포장기사,1511,1,96,,,,,,,,
제품디자인기사,1512,1,96,,,,,,,,
광학기사,1513,1,96,,,,,,,,
식품기사,1530,1,96,,,,,,,,
수산제조기사,1540,1,96,,,,,,,,
식육가공기사,1541,1,96,,,,,,,,
응용지질기사,1550,1,96,,,,,,,,
승강기기사,1555,1,96,,,,,,,,
종자기사,1560,1,96,,,,,,,,
식물보호기사,1562,1,96,,,,,,,,
화학분석기사,1563,1,96,,,,,,,,
산림기사,1564,1,96,,,,,,,,
임업종묘기사,1570,1,96,,,,,,,,
화훼장식기사,1576,1,96,,,,,,,,
축산기사,1581,1,96,,,,,,,,
임산가공기사,1590,1,96,,,,,,,,
유기농업기사,1592,1,96,,,,,,,,
기상기사,1600,1,96,,,,,,,,
기상감정기사,1601,1,96,,,,,,,,
방사선비파괴검사기사,1611,1,96,,,,,,,,
초음파비파괴검사기사,1612,1,96,,,,,,,,
자기비파괴검사기사,1613,1,96,,,,,,,,
침투비파괴검사기사,1614,1,96,,,,,,,,
와전류비파괴검사기사,1615,1,96,,,,,,,,
누설비파괴검사기사,1617,1,96,,,,,,,,
수산양식기사,1625,1,96,,,,,,,,
건축기사,1630,1,96,,,,,,,,
건축설비기사,1632,1,96,,,,,,,,
어업생산관리기사,1633,1,96,,,,,,,,
버섯산업기사,1641,1,96,,,,,,,,
대기환경기사,1661,1,96,,,,,,,,
수질환경기사,1662,1,96,,,,,,,,
소음진동기사,1663,1,96,,,,,,,,
공조냉동기계기사,1730,1,96,,,,,,,,
철도신호기사,1740,1,96,,,,,,,,
전기철도기사,1741,1,96,,,,,,,,
건설재료시험기사,1750,1,96,,,,,,,,
철도토목기사,1760,1,96,,,,,,,,
시설원예기사,1780,1,96,,,,,,,,
시각디자인기사,1790,1,96,,,,,,,,
바이오화학제품제조기사,1800,1,96,,,,,,,,
설비보전기사,1837,1,96,,,,,,,,
인간공학기사,1875,1,96,,,,,,,,
소방설비기사(기계분야),1900,1,96,,,,,,,,
소방설비기사(전기분야),1910,1,96,,,,,,,,
자연생태복원기사,1938,1,96,,,,,,,,
토양환경기사,1948,1,96,,,,,,,,
폐기물처리기사,1950,1,96,,,,,,,,
컬러리스트기사,1982,1,96,,,,,,,,
생물분류기사(식물),1988,1,96,,,,,,,,
생물분류기사(동물),1989,1,96,,,,,,,,
기계조립산업기사,2011,1,96,,,,,,,,
판금제관산업기사,2012,1,96,,,,,,,,
컴퓨터응용가공산업기사,2025,1,96,,,,,,,,
용접산업기사,2026,1,96,,,,,,,,
농업기계산업기사,2027,1,96,,,,,,,,
사출금형산업기사,2028,1,96,,,,,,,,
프레스금형산업기사,2029,1,96,,,,,,,,
철도차량산업기사,2030,1,96,,,,,,,,
기계설계산업기사,2031,1,96,,,,,,,,
생산자동화산업기사,2034,1,96,,,,,,,,
기계정비산업기사,2035,1,96,,,,,,,,
전기철도산업기사,2036,1,96,,,,,,,,
온실가스관리산업기사,2037,1,96,,,,,,,,
건설기계설비산업기사,2040,1,96,,,,,,,,
배관산업기사,2041,1,96,,,,,,,,
철도운송산업기사,2045,1,96,,,,,,,,
콘크리트산업기사,2048,1,96,,,,,,,,
건설기계정비산업기사,2050,1,96,,,,,,,,
궤도장비정비산업기사,2051,1,96,,,,,,,,
자동차정비산업기사,2070,1,96,,,,,,,,
패션머천다이징산업기사,2085,1,96,,,,,,,,
금속재료산업기사,2101,1,96,,,,,,,,
정밀측정산업기사,2104,1,96,,,,,,,,
주조산업기사,2105,1,96,,,,,,,,
표면처리산업기사,2106,1,96,,,,,,,,
재료조직평가산업기사,2107,1,96,,,,,,,,
광학기기산업기사,2108,1,96,,,,,,,,
신재생에너지발전설비산업기사(태양광),2114,1,96,,,,,,,,
화약류제조산업기사,2120,1,96,,,,,,,,
위험물산업기사,2121,1,96,,,,,,,,
화약류관리산업기사,2130,1,96,,,,,,,,
전기산업기사,2140,1,96,,,,,,,,
가구제작산업기사,2142,1,96,,,,,,,,
전기공사산업기사,2150,1,96,,,,,,,,
철도신호산업기사,2160,1,96,,,,,,,,
전자산업기사,2170,1,96,,,,,,,,
반도체설계산업기사,2175,1,96,,,,,,,,
의공산업기사,2176,1,96,,,,,,,,
3D프린터개발산업기사,2177,1,96,,,,,,,,
사무자동화산업기사,2193,1,96,,,,,,,,
조선산업기사,2220,1,96,,,,,,,,
항공산업기사,2230,1,96,,,,,,,,
토목산업기사,2240,1,96,,,,,,,,
건축일반시공산업기사,2251,1,96,,,,,,,,
건축목공산업기사,2253,1,96,,,,,,,,
섬유디자인산업기사,2264,1,96,,,,,,,,
섬유산업기사,2277,1,96,,,,,,,,
실내건축산업기사,2282,1,96,,,,,,,,
정보처리산업기사,2290,1,96,,,,,,,,
패션디자인산업기사,2301,1,96,,,,,,,,
신발산업기사,2302,1,96,,,,,,,,
조경산업기사,2320,1,96,,,,,,,,
전자계산기제어산업기사,2324,1,96,,,,,,,,
측량및지형공간정보산업기사,2330,1,96,,,,,,,,
지적산업기사,2340,1,96,,,,,,,,
해양조사산업기사,2350,1,96,,,,,,,,
항로표지산업기사,2351,1,96,,,,,,,,
산업안전산업기사,2381,1,96,,,,,,,,
건설안전산업기사,2390,1,96,,,,,,,,
인쇄산업기사,2391,1,96,,,,,,,,
승강기산업기사,2395,1,96,,,,,,,,
품질경영산업기사,2420,1,96,,,,,,,,
포장산업기사,2431,1,96,,,,,,,,
제품디자인산업기사,2432,1,96,,,,,,,,
시각디자인산업기사,2434,1,96,,,,,,,,
화재감식평가산업기사,2441,1,96,,,,,,,,
식품산업기사,2450,1,96,,,,,,,,
종자산업기사,2470,1,96,,,,,,,,
가스산업기사,2471,1,96,,,,,,,,
산업위생관리산업기사,2472,1,96,,,,,,,,
산림산업기사,2481,1,96,,,,,,,,
축산산업기사,2491,1,96,,,,,,,,
임산가공산업기사,2500,1,96,,,,,,,,
수산양식산업기사,2520,1,96,,,,,,,,
잠수산업기사,2521,1,96,,,,,,,,
건축산업기사,2530,1,96,,,,,,,,
건축설비산업기사,2531,1,96,,,,,,,,
피아노조율산업기사,2551,1,96,,,,,,,,
식물보호산업기사,2562,1,96,,,,,,,,
바이오화학제품제조산업기사,2570,1,96,,,,,,,,
대기환경산업기사,2571,1,96,,,,,,,,
수질환경산업기사,2572,1,96,,,,,,,,
소음진동산업기사,2573,1,96,,,,,,,,
공조냉동기계산업기사,2590,1,96,,,,,,,,
유기농업산업기사,2592,1,96,,,,,,,,
건설재료시험산업기사,2600,1,96,,,,,,,,
